date,ibov,mcs,spx
16feb1996,5172.99,5489.76,647.98
17feb1996,,,
18feb1996,,,
19feb1996,,5486.06,
20feb1996,,,640.65
21feb1996,,,648.1
22feb1996,5237.72,5486.06,658.86
23feb1996,5274.35,5488.26,659.08
24feb1996,,,
25feb1996,,,
26feb1996,5245.24,5497.11,650.46
27feb1996,5193.02,5519.25,647.24
28feb1996,5199.3,5523.36,644.75
29feb1996,4957.75,5525.95,640.43
01mar1996,5083.35,5541.88,644.37
02mar1996,,,
03mar1996,,,
04mar1996,5152.66,5563.81,650.81
05mar1996,5197.99,5550.86,655.79
06mar1996,4975.3,5550.94,652
07mar1996,4756,5576.55,653.65
08mar1996,4721.94,5593.88,633.5
09mar1996,,,
10mar1996,,,
11mar1996,4771.78,5589.98,640.02
12mar1996,4739.41,5591.82,637.09
13mar1996,4805.59,5582.5,638.55
14mar1996,4841.28,5588.82,640.87
15mar1996,4852.53,5613.35,641.43
16mar1996,,,
17mar1996,,,
18mar1996,4886.98,5626,652.65
19mar1996,4851.53,5637.45,651.6900000000001
20mar1996,4868.35,5641.76,649.98
21mar1996,4979.7,5629.4,649.1900000000001
22mar1996,5051.21,5625.91,650.62
23mar1996,,,
24mar1996,,,
25mar1996,5031.61,5643.33,650.04
26mar1996,4981.7,5644.72,652.97
27mar1996,5039.61,5650.32,648.91
28mar1996,4980.52,5655.88,648.9400000000001
29mar1996,4954.93,5667.97,645.5
30mar1996,,,
31mar1996,,,
01apr1996,5009.28,5668.01,653.73
02apr1996,4985.57,5681.66,655.26
03apr1996,4977.59,5698.61,655.88
04apr1996,,5696.37,655.86
05apr1996,,5700.89,
06apr1996,,,
07apr1996,,,
08apr1996,4853.69,5723.03,644.24
09apr1996,4866.48,5713,642.1900000000001
10apr1996,4889.57,5740.41,633.5
11apr1996,4885.19,5789.39,631.18
12apr1996,5015.56,5833.67,636.71
13apr1996,,,
14apr1996,,,
15apr1996,5022.39,5911.59,642.49
16apr1996,4989.34,6006.39,645
17apr1996,5003.91,6029.98,641.61
18apr1996,5002.02,6075.41,643.61
19apr1996,5075.65,6036.85,645.0700000000001
20apr1996,,,
21apr1996,,,
22apr1996,5079.69,6042.48,647.89
23apr1996,5061.92,6097.73,651.58
24apr1996,5047.01,6120.24,650.17
25apr1996,5121.88,6127.17,652.87
